id,id_1,research_outputs,name,authorship_position_from_authorship,authorship_2,resource_type_from_research_outputs,record_id,identifier_from_research_outputs,institution_id_from_authorship,institution_display_name_from_institution_id_from_authorship,publication_date,in_analysis_timeframe_from_research_outputs_3,cleaned_name,gender_based_on_pronouns,institution_country_code_from_institution_id_from_authorship,orcid,pronouns,sources_used,source_ur_ls,reviewer,nqg_classification,p_gf,pronoun_source_final,recommended_staff_for_follow_up,google_scholar_id,screenshots,created_time,open_alex_id,ultimate_name,screenshots_file_paths
rec00hbHc2Um0Bwcv,1682,cd92be478cd36cbdbd1c1bd34d887cca,fa29f106dcec542401790476ff4fbeeb,"""middle""","2938, 2939, 2940, 2941, 2942","""journal article,correction or erratum,preprint""",recsA7EuARkO0tqrX,1bc5cbfce000cc6801df3acf40a51247,fc1a9bfc9d3c072db90a9fb7040eeceb,e40742425ae527d6b0ae83f655aa7f90,d4ae9af3586fbef946c289306acf42f2,"1, 1, 1, 1, 1",fa29f106dcec542401790476ff4fbeeb,undetermined,"CN, CN, CN, CN, CN",396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec01hOBpwPWYaF0j,227,7e3492f8ae881e7572ef8ce5ad533109,d164e6a719caf866509b46e080653859,"""middle""","271, 272, 273, 8153, 9342, 9520","""journal article,preprint""",reciKaUegz0bosCLz,b1b923b45ef7c3d51d5c00a1bc8d0721,8e96129d557a6ba6cb6d7ee2328067da,d122a91b1e5bfc781cb9e4656fed2593,a8e7b9f53d3744f8050a7d116e22baa3,"1, 1, 1, 1",d164e6a719caf866509b46e080653859,undetermined,"US, US, US, US, US, US",396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec02OVInvXSj1Pkx,2986,9c66415a7c615a0870680eb83a7a1b97,cd5d199a8118ef7024c1f8198cfed7e1,"""middle""","5644, 5645, 8707","""journal article""",recgtkSkb1wWAsSRn,00f6c1807cae77661bcaaf253936e84a,3b6a0fb8c70336e4a3edcd15fca934fd,1138989421107706a85b0f338afaaf75,997563f6a7d8589aad587850ebca97b6,"1, 1",cd5d199a8118ef7024c1f8198cfed7e1,undetermined,"GB, GB, GB",396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec02T3YOpozlnI2s,644,1862b407ba84a590ba399aa893fb0aa8,5292c415993654a0937c76def64d0f8e,"""middle""",1111,"""journal article""",recE4GcvbjD8mNH4M,e9c3ac3ba6636a8b332c68ab14480fe8,136f72fc18bdd47553e7ca9026761d41,1c04b14a3d194e753360bd39071c1c86,1679028240c805ec432137c94d1371fe,1,5292c415993654a0937c76def64d0f8e,undetermined,IT,396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec04WsO31MUnPk9W,797,9d3cd1205046869ae3828f7bf5f253e7,614d6ba6d8e2fd2cb4715adc5287310e,"""middle""",1394,"""journal article""",recMIgskUG1uxTf8f,b36d97d7728e37de545248db72e81c89,967c9c3c8c041b1302bce62efec7fc49,6cb03759a5af8448f4a3038684d9ff3c,87a40f16ee43ab63aa183fe3084ba4da,1,614d6ba6d8e2fd2cb4715adc5287310e,undetermined,US,396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec082sYrTDXu35UG,177,553e72af8637ba20a60eb3233d1274de,c8d73d7b5ff7c30fe61cf9865cb897c7,"""middle""",175,"""journal article""",recEGg8wUg0Ep8ntk,dfea51731f91d7b50e9b69e290dae4a3,d60d3f26bf85e145c9fff416c6d47348,1f34467d722d94c43c4be2dd987ba7d0,c0e2b39a10894d4af98149eaa29ed1eb,1,c8d73d7b5ff7c30fe61cf9865cb897c7,undetermined,GB,93fb92c665a52083c4cb077bb79a3ddd,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec08UZpMKOVIC8v0,784,0a38ed436a32bf90a99edc69ac2a8f18,25bdba4de8e7d63228d16e5c51d8ddc2,"""middle""","1367, 1368","""journal article""",rec4qMafOUz2AFlaX,c402bde4a3dae2320d2b45d0ea63dc37,fac19ff346d41b0d9874318d22331930,97861929361606f43fbdadc0004db66e,46ebcd2c7b7266f3348bb3fb0739e2e4,"0, 0",25bdba4de8e7d63228d16e5c51d8ddc2,undetermined,"AU, AU",396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec08czBVws5g2Y5Q,3046,e3324de65ca5e178b101a727a6f505fe,0eceef9db9d8acbfbe21de446b9b6b20,"""first""",5731,"""journal article""",receDZUM5RikekiHb,e5d8c4a146d04f10a0c7aafaec2cbd80,8dd15aa8c2f6d1c53e58249416a080e3,905bf4e5eb3e7aecf8abcde4593ae236,bdc04d712a98815c98dbf1b76f2db8ec,1,0eceef9db9d8acbfbe21de446b9b6b20,gendered male,US,396f1837bdc228159d12c551d5a704ed,"""he_him_his""","""Professional Website""",5c2f28d095a504aa4d56a095d2ab4572,838e22a25ac8f362d9113982bbb0c619,gf,1,Online information,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec0AmrE336vex2pX,2606,1de9c39d1523b484c0acb7b4c441ad37,2a25a86dfb736c61388709275bb964d2,"""first,middle""","4653, 4654, 4655, 4656","""journal article,preprint""",recYE0ZcSHaxIoOFm,3ffca5d27d9fe50a2cbe10916b0fed50,0fcc774a9cc9b8726c448ea734f216f0,6e83cc69eb49eb901704237754b8ba61,0d009ef5f0f7df12d8bf25a730b97a28,"1, 1, 1, 1, 1",2a25a86dfb736c61388709275bb964d2,undetermined,"CD, CG, CD, CD",7825b8c0695d856fd743fe17f9bb383b,"""unable_to_find""","""""",396f1837bdc228159d12c551d5a704ed,838e22a25ac8f362d9113982bbb0c619,gm,0.056,NA,d29fc7f1dc6e04834e83fc868f1a5b73,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
rec0CMeVdTOQj4I5N,1180,27d405e7cf25294bea46c09cf6df3515,bd693a69ebfee4e2b6df0de44d9e487e,"""middle""","2056, 8309","""journal article""",recIoIxf4D0h4hMYE,ec0fb149db4f60220af73ebd10bbfb2a,8fa6541fd707c81b2a9b1b165e3a0545,32b2cc9a06c5269674f7a23917e750fc,543379844b2281d6127e604b8b19d502,1,bd693a69ebfee4e2b6df0de44d9e487e,undetermined,"TR, TR",396f1837bdc228159d12c551d5a704ed,"""""","""""",396f1837bdc228159d12c551d5a704ed,adafe19540a8cc293ea460c125057199,NA,NA,NA,999acfd8d489484974c51bebe529a73d,396f1837bdc228159d12c551d5a704ed,999acfd8d489484974c51bebe529a73d,2024-02-22T18:33:26Z,5963bac0ddd4b0c3af914e1d4375ed4e,5963bac0ddd4b0c3af914e1d4375ed4e,999acfd8d489484974c51bebe529a73d
