id,name,resource_type,identifier,publication_date,source,status,accessibility,country_of_study,keywords,created_time,author_team_size,source_display_name,source_id
rec459tcbk5axcy1h,9eea67b54a0fc82eb9cc893a24ffc7ab,"""journal article""",5ddc4dfdc4ee5a928fe1233c898b9681,2014-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:35:36Z,4,46e22e9bd4919ecc8cd215582426e6f6,611aaba1215f6964028214bbb221f9ff
rec4EibayKvxvBFVH,bfa5a710985fc0099cefbd46a5e4c195,"""journal article""",b5923ccd9e6ae4307035b33650d90282,2015-01-01,OpenAlex,published,open access,"""China,United States""","""""",2023-07-31T00:19:06Z,20,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec4ZM3bqOkC6RW0P,881ecbe5686213d962f0a1241e3c0256,"""journal article,review""",2f4595e9b3765f9548ca75ca6b017582,2012-01-01,OpenAlex,published,NA,"""Australia""","""""",2023-06-20T22:35:31Z,7,09ce792d1af2c3c0efd5de00ea99ced0,99b839859b2e0cda8dd9a93521927d15
rec4cTOzgaYspi1Sx,7c07a3068519aadae707dc1b8df99b3d,"""journal article""",c5ba7c24260b54fc950530016c58a37d,2021-01-01,OpenAlex,published,open access,"""Democratic Republic of the Congo,Republic of the Congo""","""""",2023-06-20T22:35:40Z,38,4f14ace3b4e001cf4f133142b81c618f,999a1f22c227c5885244eb93226e05e6
rec4suTaxZxCwZ9U0,aa45473929bfbca8d4cbdbb41e288b67,"""journal article,review""",9f1f62e0ac9bd69d3efb5d0149dd9777,2019-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:41Z,3,bea70001252393072db069ae5238a86c,5bed36341c2bf5505c8ce174aae811c2
rec4vfgWL2j80BFu7,60d938e720afb3206be3012f3bd2fc6b,"""journal article""",beb4bbe33083434eaf785627a44f8aa3,2015-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:16Z,11,9a74a40d1f41d6b72f506b3e13b49719,9cd977bb59ce849f4621dd831d39c3b6
rec5AYzrcXYaHyuNS,6110a237252a5435b827fa27143ff1f8,"""journal article""",eabb763f0f64bf79debb42ef60456d67,2015-01-01,OpenAlex,published,open access,"""Republic of South Sudan,Sierra Leone,Kenya,Bangladesh""","""""",2023-06-20T22:35:04Z,8,09b23ef9049a4817a561686aed68025e,8ab1d115969451139a6938efe46b7786
rec5BwbAwYHzNYUiU,cb5b926071a1f7d9cddcb061ec045d9a,"""journal article""",e9baf9b508c5285e6d1ba1bb427ea88a,2011-01-01,OpenAlex,published,NA,"""United States""","""""",2023-06-20T22:36:23Z,4,a572450a3a3cdb4af1c8179498d59b17,4ac0bf37d4b3cc4d5d4ca6c1090731bc
rec5Mrel8tLMxT5ln,4e621a7ca6d00ff76dfad81bf8268efc,"""journal article""",d809a0fcf06c7c27ac823d34fb0759c7,2014-01-01,OpenAlex,published,open access,"""Non-specific""","""""",2023-06-20T22:34:36Z,14,90f04e51665b16315a09553972f1e268,1f3473303abe4d4222e6267248a64094
rec5k3MteAtDwl1Hw,b45295051e66748d6907b7082a4dfc19,"""journal article""",c72a1a800b86260fcd035d4c8739cafb,2020-01-01,OpenAlex,published,open access,"""China""","""""",2023-06-20T22:34:18Z,15,4bfd83588026891c18dcaa0942cf5446,85c02b948df37ec3a5f45e5a5721bc56
