id,authorship_id,institution_id,authorship_position,authorship_position_number,name,publication,contributor_id,publication_link,resource_type_from_publication,institution_country_code_from_institution_id,publication_date_from_research_outputs,within_analysis_timeframe_from_publication,cleaned_name,created_time
recrefk1Q5Ax9crvy,8356,0ecb72d7e96398654fb60102d2551881,middle,3,ba73ea39262f008f97181c6728502d5e,90d5ef8e315db728e88138d5432ca91a,1422,32a32736086a0e3d270a3cded7b5ce56,"""journal article""",CN,2016-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recrel5uA6E70S4LA,8921,54c04cd44cf76c366cfd8d8e6b2802f1,middle,5,fd70de2f8e580a735b7ad1b7b15afe16,dec4ae148aac8501c5ddc29cc3b79358,NA,b38a4d3928024e9e69e00bb8fa1bc9c9,"""journal article""",BR,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recreoDggsDPSwBrM,3239,e09072cfa75e5c3a199652bcfc8fda7f,middle,5,2313523e754dae1cb7db7a68d368ec2a,a1bcc9a76bcec79f9e155eac56475c7a,1792,9879ed5cb797db2776c6318f04113747,"""journal article""",US,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrfAE1xm4W6FFJK,8175,6158a55a827fd44c7a5fb908718ccf20,first,1,bea79e3bd4447e7c20eb56a5434616d9,bf870ba55d96c963f64ddef6be5e3d14,333,896358c866cd4dc65e527117110c00fb,"""journal article,review""",GB,2017-01-01,1,bea79e3bd4447e7c20eb56a5434616d9,2023-08-02T15:59:14Z
recrfTAnLxGjxt1gZ,6235,a1999f2a84702a12a706207066166b4a,middle,13,97e1a5594aa93e7c527e2131b8c65abb,c83b95fb36c6feb609df674b865f38b1,3376,086542bfb84eb5d032fc8a47069376b1,"""journal article""",BD,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recrg05ok3DTlpV16,6765,1feac18ae313e03653dc9ad0c68cc621,middle,9,b6200c156307b3a9fe5d03703d124282,c43a70509ebcaead65cbcb85d7b3656a,3645,7f86745ca32a2097b49530670b144ead,"""journal article""",NL,2014-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:33Z
recrh3z1WkoiVKqjr,4564,0ee213771d6ab9d35207e9c34f898eb2,middle,31,db05fe28d4aa9a50d1c779e86a24f3da,30c8929e9cebfe63658855c26a167cdb,2557,bf9cca32f4f84a5f9e040270f23a6231,"""dataset""",US,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-07-18T21:01:30Z
recri17mcRg4QYuHK,6282,30f2024ec3f0e0ce1509038665225b6d,middle,17,cd4ec6a812396a0b564f0795e84c2b1e,30c8929e9cebfe63658855c26a167cdb,3402,d9779c95ee33def8487cc135c3bee46c,"""preprint""",FR,2019-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-07-17T18:42:53Z
recriH3sDCpYBZMP8,3598,8255e9209dcccac002b17581f0707565,middle,13,1b309e56e553fa11f2d0fd748964e99d,a605154639658f4c6f9889a62e8983a2,4112,bff3fd12c704763cccaee64126399391,"""journal article""",US,2018-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrirZ9un6egvYfO,1630,3f6c2d8e3ac88ac45e4f8058082af1f2,middle,2,3f326c78ed90db7a71bf84c846de147f,68a2b0e54694450d4154c48d40046d1f,927,f9295bc2e4cbe0a26e19c0f73ea42a46,"""journal article""",AU,2015-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrj2BVYgnbeOcBb,8567,a7ae072d10ee9d45cbfd6b9394ff6c7b,middle,10,399155c96fe1c99cffc8b8fff81268c0,073d5641477242c65223c6870e2a0070,2534,436ea79b6c64672e23809ca7c37ec0da,"""journal article""",BD,2021-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recrjIRchOqagjnvN,5505,e09072cfa75e5c3a199652bcfc8fda7f,middle,18,86db4004698005bd08ef7ba23f1e7a53,711d67e7c874474f8917afedaf74e1a5,4067,8d3232861918220502cf36889fe39dd6,"""preprint""",US,2023-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-07-17T18:42:53Z
recrjggQejoySlCXN,2831,96e47e04473236f5e1923bea4d8f50f2,middle,7,c807d3acc8bbc417abd08e6b5411aa4a,20ca7e772f89f0ee8a5b20b0cac77436,1607,e604ae899642d68a73025b81b54b9d84,"""journal article""",US,2015-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrjoo7dKd7tVjCl,5468,e09072cfa75e5c3a199652bcfc8fda7f,middle,4,70fd9e530aa10fed26ba6950248eb1cc,b11d400fa7dffa67f961f3b318b34d97,4053,e8c7595403b3dbb0cafbc4212280f508,"""journal article""",US,2018-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrk375XOfU0cpGy,3806,ca062e75e7824749205c95798b2fa1ec,middle,2,8967de68a34b12810d41761e3d0592cc,881ecbe5686213d962f0a1241e3c0256,2130,2f4595e9b3765f9548ca75ca6b017582,"""journal article,review""",AU,2012-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrkBxALknKv1fW3,8911,d9b62a02e5a185b8d3c3160135d49b48,middle,8,4d8cf7ddd6a99f2175ad0e560e24c5d1,d1536a9afb3282a5b2d76582f739de7d,NA,20eb43e4f4e27559d364cd68521d55b3,"""journal article""",MY,2009-01-01,0,396f1837bdc228159d12c551d5a704ed,2023-08-24T14:05:56Z
recrkEn9N0Kuh3QVb,2798,fc6bc13299a8b03c0988ea8351fb7769,middle,8,6ee8d017b4712e9a9e837024160dd829,e64071a8a84fe9c14fcd186abcc85274,1591,326f500757ae68c553476a237784fe31,"""journal article""",ZA,2020-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
recrkXl5AFeRkd7f8,4038,a1999f2a84702a12a706207066166b4a,middle,6,0ab8bb413ec20bae744dd38954700df4,7f55e3c61e5794c71f0fb6c221c46010,2265,64aaf14dc4b8381934665f44b5354674,"""journal article""",BD,2013-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:29Z
recrl7NXg4A2THjX8,8884,0ecb72d7e96398654fb60102d2551881,middle,5,39fda17316749297936533a84ad05fb2,90d5ef8e315db728e88138d5432ca91a,3909,32a32736086a0e3d270a3cded7b5ce56,"""journal article""",CN,2016-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-08-02T15:59:14Z
recrmKQcfhesaIeSo,9048,94e446703970215f6fa648ffe4213056,first,1,2d0c76539ff62981bd79265135f35a16,c1df9b9401f229606ab14b2037afb297,1492,74c23642945a364786bce7a5727c6abf,"""journal article""",BD,2011-01-01,1,b3b1fb24141e11e787dd2ffcb2cf0dcc,2023-08-02T15:59:14Z
recrn4oYcGspeN0oK,1996,85a6aebe52accbaa5ea0ab56cdc8c2d4,first,1,9a0ed360d7eb78eb6765835e5226155f,1ffa1440d9578be44966061fc65152f2,1142,da2d2e1f595d9217d38fe1d34f7b726e,"""journal article""",US,2018-01-01,1,9a0ed360d7eb78eb6765835e5226155f,2023-06-22T18:07:24Z
recrn6uFbhcTBYcyp,1866,e09072cfa75e5c3a199652bcfc8fda7f,middle,5,42405f2d5503a01e3df762b51ccce1b9,06a86ab21a569f710bce5f1be38b6350,4044,1b23b4e1418cf7f4be04dd2f1a22e2f5,"""journal article""",US,2019-01-01,1,396f1837bdc228159d12c551d5a704ed,2023-06-22T18:07:24Z
